date,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDIDR,USDINR,USDJPY,USDKRW,USDSGD,USDTWD,USDZAR
2004-12-27,0.773574993014335,1.357550024986275,1.929325014352775,0.7195499986410125,1.224075019359575,1.1389250159263749,9293.75,43.76999950408924,103.3699989318875,1047.92501831055,1.6400499939918503,32.117750167846495,5.622825026512125
2004-12-28,0.7779749929904951,1.3615750074386501,1.9323250055313,0.7219249904155725,1.217850029468575,1.13459998369215,9302.25,43.732500076293746,103.0625,1042.7000122070249,1.6364749670028498,32.02200031280525,5.6209250688553
2004-12-29,0.775699988007545,1.360574990510925,1.9228999912738751,0.717050015926365,1.214450001716625,1.134199976921075,9317.5,43.7025003433225,103.5299987792975,1043.399993896475,1.6372750401496752,31.99224996566775,5.645025014877325
2004-12-30,0.7764500081539175,1.3623499870300502,1.9221750199795,0.7157999873161326,1.2078750133514249,1.13312500715255,9340.75,43.71125030517575,103.5074996948225,1043.8250122070249,1.63797500729565,31.981999874114752,5.659350037574775
2004-12-31,0.780349999666215,1.359225004911425,1.9233999848366,0.7184249907732,1.20295003056525,1.135650008916875,9306.25,43.45750045776375,102.745000839235,1036.7749633788999,1.634625017642975,31.7575006484985,5.640675067901575
2005-01-03,0.7782499939203249,1.3494499921798748,1.9106999933719497,0.7150499969720825,1.20544999837875,1.14525002241135,9304.5,43.4699993133545,102.802501678465,1037.274993896475,1.635749995708475,31.77000045776375,5.646750092506401
2005-01-04,0.771874994039535,1.3370750248432248,1.8933250010013751,0.7079499959945701,1.2158000171184749,1.1578750014305,9293.75,43.4399995803835,103.64999961853,1038.875,1.643799990415575,31.800000190735,5.740125060081476
2005-01-05,0.7640749961137774,1.326599985361075,1.8824500143528,0.6999749839305875,1.22587499022485,1.1687250137329,9307.5,43.539999961853255,104.3524990081775,1047.125,1.6479499936104003,31.95399999618525,5.886124968528725
2005-01-06,0.7618750035762775,1.3218750357628,1.878250002861025,0.6980250030756,1.2310749888420003,1.1717749834060749,9303.0,43.80500030517575,104.55999946594001,1050.7000122070249,1.6484750211238999,32.014999866485496,6.011150121688851
2005-01-07,0.7596749961376199,1.3125,1.8742249906063,0.6976750046014775,1.23202499747275,1.1789000034332249,9311.75,43.818750381469755,104.692501068115,1055.25,1.6469500064849747,32.05499887466425,6.0800000429153505
2005-01-10,0.7583749890327426,1.30795001983645,1.873699992895125,0.6943750083446525,1.226900011301025,1.182624995708475,9302.5,43.840000152588004,104.4724979400625,1053.25,1.6460250020027,32.18000030517575,6.031125068664576
